ParticipantID,Email,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,OriginTypePairID,ParticipantFieldOfInterest,TotalDonations
225,isabella.lopez240@community.org,Isabella,Lopez,2009-02-10,participant,801-237-7504,Orem,UT,84957,12,Both,252.76
226,savannah.williams241@ellarises.org,Savannah,Williams,2005-07-07,participant,801-817-2758,Murray,UT,84582,4,Arts,
227,ethan.king242@community.org,Ethan,King,2004-02-14,participant,801-716-8668,St. George,UT,84872,10,STEM,
228,skylar.hernandez243@community.org,Skylar,Hernandez,2014-07-10,participant,801-390-1230,Layton,UT,84736,1,Arts,
229,zoey.lopez244@community.org,Zoey,Lopez,2006-12-28,participant,801-535-2421,Taylorsville,UT,84528,7,STEM,
230,riley.rodriguez245@community.org,Riley,Rodriguez,2003-11-07,participant,801-454-1111,Lehi,UT,84959,6,STEM,71.16
231,lucas.moore246@learners.net,Lucas,Moore,2003-11-13,participant,801-940-1187,Murray,UT,84597,7,Arts,
232,lillian.brown247@ellarises.org,Lillian,Brown,2013-05-22,participant,801-363-7642,Riverton,UT,84315,8,Both,
233,bella.davis248@learners.net,Bella,Davis,2000-12-30,participant,801-426-4590,Draper,UT,84630,5,STEM,
234,hannah.thomas250@ellarises.org,Hannah,Thomas,1999-10-02,participant,801-740-6927,Pleasant Grove,UT,84458,3,Both,26.38
235,ella.brown251@studentmail.org,Ella,Brown,2007-11-29,participant,801-535-9525,St. George,UT,84169,2,Both,167.83
236,grace.nguyen252@community.org,Grace,Nguyen,1999-04-01,participant,801-722-8298,Ogden,UT,84921,5,STEM,210.88
237,daniel.clark253@community.org,Daniel,Clark,2014-03-23,participant,801-673-6049,Provo,UT,84573,11,Arts,53.68
238,eleanor.smith254@studentmail.org,Eleanor,Smith,2013-09-16,participant,801-633-6644,Ogden,UT,84047,2,Both,
239,amelia.jones255@community.org,Amelia,Jones,2001-01-14,participant,801-618-3948,Provo,UT,84294,15,Both,67.82
240,oliver.white256@community.org,Oliver,White,1999-10-20,participant,801-586-7154,Riverton,UT,84891,7,Both,65.14
241,ethan.rodriguez257@learners.net,Ethan,Rodriguez,2009-11-11,participant,801-750-7439,Logan,UT,84183,12,Both,
242,victoria.smith258@ellarises.org,Victoria,Smith,2007-07-07,participant,801-889-9920,Murray,UT,84475,8,Arts,1023.22
243,madison.thomas259@community.org,Madison,Thomas,2014-04-06,participant,801-482-4088,Draper,UT,84159,15,STEM,698.45
244,isabella.clark260@ellarises.org,Isabella,Clark,2011-04-28,participant,801-268-2653,West Jordan,UT,84212,11,Arts,
245,charlotte.thomas261@ellarises.org,Charlotte,Thomas,2002-11-15,participant,801-439-9843,Bountiful,UT,84450,15,STEM,
246,camila.allen262@learners.net,Camila,Allen,2010-12-14,participant,801-949-6224,West Jordan,UT,84836,9,Both,267.54
247,claire.thomas263@learners.net,Claire,Thomas,2007-04-11,participant,801-733-4621,St. George,UT,84677,4,Arts,
248,amelia.scott264@studentmail.org,Amelia,Scott,2005-09-22,participant,801-707-1768,Taylorsville,UT,84570,7,Both,
249,leah.king265@learners.net,Leah,King,2006-06-11,participant,801-352-5913,Taylorsville,UT,84419,12,Both,
250,jack.thomas266@studentmail.org,Jack,Thomas,2008-05-21,participant,801-924-3365,Murray,UT,84879,3,STEM,78.74
251,noah.clark267@studentmail.org,Noah,Clark,2005-05-29,participant,801-461-4331,Bountiful,UT,84249,7,STEM,
252,lucas.white268@ellarises.org,Lucas,White,2013-02-09,participant,801-474-7179,Sandy,UT,84053,9,Both,78.37
253,mia.jones269@studentmail.org,Mia,Jones,2004-10-19,participant,801-413-6455,Sandy,UT,84491,3,STEM,82.07
254,hannah.gonzalez270@ellarises.org,Hannah,Gonzalez,2006-11-24,participant,801-448-4350,Spanish Fork,UT,84937,3,STEM,
255,claire.jackson271@community.org,Claire,Jackson,2004-12-01,participant,801-864-6886,Riverton,UT,84547,4,Arts,780.16
256,daniel.young272@community.org,Daniel,Young,2005-03-08,participant,801-939-8692,Logan,UT,84823,3,STEM,312.13
257,zoe.lee273@community.org,Zoe,Lee,1998-05-13,participant,801-426-3390,Provo,UT,84577,4,Both,211.45
258,oliver.jackson274@studentmail.org,Oliver,Jackson,2010-10-12,participant,801-435-7223,Sandy,UT,84338,13,STEM,
259,jackson.scott275@learners.net,Jackson,Scott,2008-05-03,participant,801-700-9037,Layton,UT,84782,12,Both,
260,stella.hernandez276@studentmail.org,Stella,Hernandez,2009-10-02,participant,801-755-1962,Spanish Fork,UT,84189,11,STEM,
261,charlotte.smith277@community.org,Charlotte,Smith,1999-07-11,participant,801-845-4791,St. George,UT,84863,14,STEM,447.54
262,olivia.wilson278@community.org,Olivia,Wilson,2012-10-14,participant,801-832-8916,Draper,UT,84062,5,STEM,155.18
263,ava.wright279@community.org,Ava,Wright,2010-01-06,participant,801-742-5501,Salt Lake City,UT,84018,4,STEM,498.43
264,mateo.ramirez280@studentmail.org,Mateo,Ramirez,2001-05-04,participant,801-298-9591,Logan,UT,84941,10,STEM,70.88
265,mason.taylor281@learners.net,Mason,Taylor,2006-05-15,participant,801-606-2294,Layton,UT,84815,6,Arts,
266,addison.anderson282@learners.net,Addison,Anderson,2000-02-05,participant,801-865-1519,Ogden,UT,84670,6,Arts,
267,leah.scott283@community.org,Leah,Scott,1999-11-09,participant,801-209-3807,Provo,UT,84653,5,Arts,417.96
268,skylar.torres284@ellarises.org,Skylar,Torres,2002-09-28,participant,801-243-4764,Pleasant Grove,UT,84942,3,Both,
269,jack.moore285@ellarises.org,Jack,Moore,2010-08-22,participant,801-487-9897,Ogden,UT,84701,7,STEM,232.61
270,layla.lee286@ellarises.org,Layla,Lee,1999-09-23,participant,801-347-7525,Sandy,UT,84602,4,STEM,438.31
271,lillian.torres287@community.org,Lillian,Torres,2013-06-17,participant,801-973-3292,Lehi,UT,84394,14,STEM,45.9
272,mateo.thompson288@ellarises.org,Mateo,Thompson,2005-08-22,participant,801-437-2245,Logan,UT,84448,9,Both,1273.43
273,james.lee289@ellarises.org,James,Lee,2003-02-12,participant,801-661-9038,Layton,UT,84803,1,Both,23.86
274,leah.ramirez290@studentmail.org,Leah,Ramirez,2003-07-12,participant,801-990-5839,Bountiful,UT,84088,14,STEM,155.32
275,abigail.moore291@studentmail.org,Abigail,Moore,2014-08-04,participant,801-849-3527,Bountiful,UT,84729,6,Arts,225.53
276,natalie.miller292@ellarises.org,Natalie,Miller,2006-01-27,participant,801-515-8286,Salt Lake City,UT,84966,15,Arts,
277,mila.rodriguez293@ellarises.org,Mila,Rodriguez,2007-02-25,participant,801-659-9395,Orem,UT,84442,2,STEM,
278,emily.thompson294@ellarises.org,Emily,Thompson,2004-07-18,participant,801-594-1202,Lehi,UT,84885,6,Arts,455.51
279,abigail.scott295@studentmail.org,Abigail,Scott,2001-10-20,participant,801-901-7237,Pleasant Grove,UT,84174,12,Arts,
280,brooklyn.moore296@community.org,Brooklyn,Moore,2004-03-10,participant,801-371-8121,St. George,UT,84065,6,Arts,
281,levi.jones297@learners.net,Levi,Jones,2011-04-27,participant,801-452-9123,Layton,UT,84967,9,STEM,
282,benjamin.miller298@studentmail.org,Benjamin,Miller,2011-11-29,participant,801-605-6443,Murray,UT,84007,6,Arts,
283,henry.perez299@community.org,Henry,Perez,2008-09-29,participant,801-528-4290,St. George,UT,84308,1,STEM,82.53
284,james.lee300@learners.net,James,Lee,2005-04-23,participant,801-789-4971,Spanish Fork,UT,84991,6,Arts,
285,james.white301@ellarises.org,James,White,2013-04-16,participant,801-758-3947,Sandy,UT,84607,15,Both,
286,sophia.robinson302@studentmail.org,Sophia,Robinson,2007-03-06,participant,801-498-2133,Riverton,UT,84817,7,Arts,
287,camila.martin303@studentmail.org,Camila,Martin,2006-06-16,participant,801-357-7932,Layton,UT,84675,2,Arts,57.33
288,levi.nguyen304@community.org,Levi,Nguyen,2010-03-12,participant,801-908-7853,Pleasant Grove,UT,84946,11,Arts,76.94
289,sebastian.hill305@ellarises.org,Sebastian,Hill,2001-09-24,participant,801-454-6816,Logan,UT,84788,7,Both,
290,mia.torres306@community.org,Mia,Torres,1998-03-28,participant,801-640-2735,Lehi,UT,84989,2,Arts,
291,victoria.allen307@studentmail.org,Victoria,Allen,2013-03-29,participant,801-600-8586,Riverton,UT,84384,9,Both,
292,mateo.martinez308@learners.net,Mateo,Martinez,2007-05-01,participant,801-307-5840,Salt Lake City,UT,84495,3,STEM,
293,ella.martinez309@learners.net,Ella,Martinez,2009-09-08,participant,801-666-4389,Murray,UT,84352,5,Arts,
294,jack.miller310@community.org,Jack,Miller,1999-01-02,participant,801-268-5919,Riverton,UT,84327,15,Both,49.02
295,ella.johnson311@learners.net,Ella,Johnson,2009-07-29,participant,801-368-4996,Logan,UT,84694,12,Both,
296,lily.perez312@community.org,Lily,Perez,2002-03-07,participant,801-614-4022,Riverton,UT,84238,7,Both,
297,william.sanchez313@ellarises.org,William,Sanchez,2006-09-21,participant,801-806-8037,Sandy,UT,84461,11,Both,
298,hannah.wilson314@learners.net,Hannah,Wilson,2002-03-12,participant,801-304-9796,Ogden,UT,84592,1,Arts,465.97
299,nora.robinson315@ellarises.org,Nora,Robinson,2012-05-02,participant,801-701-9646,Layton,UT,84687,1,Both,139.89
300,hazel.flores316@community.org,Hazel,Flores,2011-11-06,participant,801-560-8501,Logan,UT,84357,12,Both,
301,brooklyn.flores317@ellarises.org,Brooklyn,Flores,2004-11-06,participant,801-320-4908,St. George,UT,84321,2,STEM,
302,zoe.martinez318@community.org,Zoe,Martinez,2007-06-28,participant,801-341-7286,Taylorsville,UT,84611,12,Arts,
303,sebastian.lopez319@studentmail.org,Sebastian,Lopez,2005-01-21,participant,801-343-4065,Spanish Fork,UT,84296,13,Arts,74.74
304,charlotte.thompson320@ellarises.org,Charlotte,Thompson,2010-08-06,participant,801-399-7290,Spanish Fork,UT,84140,8,Both,230.96
305,jackson.clark321@community.org,Jackson,Clark,2001-10-02,participant,801-654-9006,Taylorsville,UT,84728,2,Both,52.89
306,sophia.anderson322@learners.net,Sophia,Anderson,2004-06-22,participant,801-430-9808,Provo,UT,84282,12,Arts,
307,jackson.scott323@ellarises.org,Jackson,Scott,2006-03-25,participant,801-993-9898,Logan,UT,84275,8,STEM,
308,henry.wright324@studentmail.org,Henry,Wright,2004-09-04,participant,801-953-5055,Taylorsville,UT,84105,13,STEM,52.05
309,lucas.taylor325@learners.net,Lucas,Taylor,2002-09-16,participant,801-320-4882,Ogden,UT,84450,15,Both,
310,kennedy.flores326@community.org,Kennedy,Flores,2002-08-23,participant,801-342-4385,Orem,UT,84631,15,STEM,
311,kennedy.wright327@learners.net,Kennedy,Wright,2004-06-28,participant,801-920-5794,Orem,UT,84332,9,Arts,203.19
312,daniel.miller328@studentmail.org,Daniel,Miller,2012-09-17,participant,801-260-5543,Taylorsville,UT,84941,12,Both,
313,sofia.thomas329@studentmail.org,Sofia,Thomas,2008-12-23,participant,801-453-7434,Lehi,UT,84849,12,Both,
314,paisley.clark330@community.org,Paisley,Clark,2007-01-14,participant,801-848-2525,Riverton,UT,84078,8,Both,
315,penelope.white331@community.org,Penelope,White,2014-06-08,participant,801-795-1040,Spanish Fork,UT,84336,2,Both,94.37
316,benjamin.thompson332@ellarises.org,Benjamin,Thompson,2009-02-04,participant,801-639-4470,Bountiful,UT,84224,4,Arts,
317,aurora.perez333@studentmail.org,Aurora,Perez,1999-01-12,participant,801-551-1793,Spanish Fork,UT,84808,2,Both,69.49
318,benjamin.johnson334@ellarises.org,Benjamin,Johnson,2007-08-06,participant,801-667-1011,Orem,UT,84452,10,Both,
319,sofia.martin335@studentmail.org,Sofia,Martin,2003-08-14,participant,801-870-6905,Layton,UT,84096,2,Arts,473.94
320,chloe.brown336@community.org,Chloe,Brown,2007-08-18,participant,801-916-4836,Murray,UT,84744,7,STEM,
321,elizabeth.smith337@studentmail.org,Elizabeth,Smith,2009-08-26,participant,801-335-4705,Spanish Fork,UT,84080,7,Arts,
322,olivia.smith338@learners.net,Olivia,Smith,2008-09-18,participant,801-632-3165,Logan,UT,84881,2,STEM,
323,hazel.garcia339@ellarises.org,Hazel,Garcia,2001-01-28,participant,801-576-5902,Logan,UT,84321,6,STEM,
324,aria.jones340@ellarises.org,Aria,Jones,2012-02-02,participant,801-559-4490,Orem,UT,84451,14,STEM,184.51
325,noah.flores341@community.org,Noah,Flores,2014-11-17,participant,801-302-3293,Sandy,UT,84089,2,Both,921.39
326,hazel.thompson342@community.org,Hazel,Thompson,2004-03-18,participant,801-343-5059,Lehi,UT,84811,7,STEM,
327,addison.scott343@learners.net,Addison,Scott,2002-08-11,participant,801-874-5942,Salt Lake City,UT,84869,8,Both,
328,daniel.gonzalez344@community.org,Daniel,Gonzalez,2009-02-06,participant,801-255-4921,Murray,UT,84662,6,STEM,
329,lillian.young345@ellarises.org,Lillian,Young,2005-02-05,participant,801-212-6916,Pleasant Grove,UT,84911,12,Arts,140.35
330,oliver.white346@studentmail.org,Oliver,White,1998-05-17,participant,801-988-2195,Spanish Fork,UT,84978,9,STEM,1106.46
331,olivia.taylor347@studentmail.org,Olivia,Taylor,2009-05-13,participant,801-261-7520,Provo,UT,84945,4,Both,
332,mateo.clark348@community.org,Mateo,Clark,2010-01-22,participant,801-855-9791,Bountiful,UT,84085,9,STEM,1178.92
333,penelope.garcia349@learners.net,Penelope,Garcia,2010-01-12,participant,801-408-3545,Ogden,UT,84524,1,Arts,530.11
334,harper.martin350@community.org,Harper,Martin,2007-09-30,participant,801-450-2412,West Jordan,UT,84060,2,Arts,
335,amelia.martin351@studentmail.org,Amelia,Martin,2013-09-25,participant,801-924-3248,Logan,UT,84013,11,STEM,
336,jackson.thompson352@learners.net,Jackson,Thompson,2014-06-10,participant,801-329-5403,Orem,UT,84381,3,STEM,
337,sophia.perez353@community.org,Sophia,Perez,2013-12-23,participant,801-265-5308,Layton,UT,84537,9,Both,
338,evelyn.young354@community.org,Evelyn,Young,2010-09-18,participant,801-256-9185,Pleasant Grove,UT,84369,12,Arts,253.47
339,lily.taylor355@ellarises.org,Lily,Taylor,1998-01-22,participant,801-958-9336,Logan,UT,84234,11,STEM,40.69
340,addison.williams356@community.org,Addison,Williams,1998-10-17,participant,801-353-3932,Draper,UT,84393,8,Both,203.43
341,oliver.anderson357@learners.net,Oliver,Anderson,2004-02-01,participant,801-937-6241,West Jordan,UT,84427,13,STEM,136.01
342,zoe.davis358@ellarises.org,Zoe,Davis,2006-12-29,participant,801-728-1752,Orem,UT,84229,2,Arts,
343,aurora.martin359@learners.net,Aurora,Martin,2006-04-11,participant,801-667-1130,Ogden,UT,84567,10,Arts,
344,brooklyn.flores360@studentmail.org,Brooklyn,Flores,2002-05-20,participant,801-805-9083,Riverton,UT,84378,14,Both,
345,olivia.perez362@ellarises.org,Olivia,Perez,2000-05-01,participant,801-955-6038,Bountiful,UT,84870,10,Both,162.92
346,lillian.clark363@community.org,Lillian,Clark,2000-02-02,participant,801-345-5584,Provo,UT,84996,11,STEM,
347,michael.clark364@learners.net,Michael,Clark,2011-01-10,participant,801-965-2391,Riverton,UT,84998,2,Both,220.57
348,camila.sanchez365@ellarises.org,Camila,Sanchez,2003-04-24,participant,801-878-3141,Provo,UT,84446,4,Arts,
349,aaliyah.sanchez366@learners.net,Aaliyah,Sanchez,1999-09-04,participant,801-478-4827,Lehi,UT,84464,10,STEM,
350,mila.martinez367@ellarises.org,Mila,Martinez,2007-02-13,participant,801-677-6145,Orem,UT,84461,2,Both,
351,stella.wilson368@community.org,Stella,Wilson,2000-01-11,participant,801-471-2964,Murray,UT,84475,12,Both,
352,brooklyn.hill369@ellarises.org,Brooklyn,Hill,2000-01-18,participant,801-535-3430,Sandy,UT,84856,14,STEM,
353,stella.sanchez370@ellarises.org,Stella,Sanchez,2007-01-26,participant,801-378-1509,Murray,UT,84267,13,Arts,
354,addison.miller371@community.org,Addison,Miller,1998-04-08,participant,801-343-2989,Logan,UT,84824,11,STEM,213.63
355,evelyn.johnson373@ellarises.org,Evelyn,Johnson,2000-11-21,participant,801-861-8265,Sandy,UT,84925,2,Arts,
356,avery.williams374@community.org,Avery,Williams,2014-04-01,participant,801-787-8096,Provo,UT,84173,6,Arts,
357,sophia.harris375@community.org,Sophia,Harris,2004-03-02,participant,801-419-4066,Orem,UT,84363,4,Arts,
358,scarlett.williams376@studentmail.org,Scarlett,Williams,1999-05-15,participant,801-621-8848,Murray,UT,84511,2,Arts,
359,hazel.rodriguez377@community.org,Hazel,Rodriguez,2012-02-24,participant,801-738-5082,Sandy,UT,84659,15,Both,
360,emma.harris378@learners.net,Emma,Harris,2010-09-08,participant,801-696-6636,Spanish Fork,UT,84558,8,Arts,
361,hazel.moore379@studentmail.org,Hazel,Moore,1998-08-29,participant,801-811-4588,Salt Lake City,UT,84327,3,Arts,193.38
362,amelia.walker380@learners.net,Amelia,Walker,2003-07-24,participant,801-363-2640,West Jordan,UT,84998,7,STEM,544.27
363,paisley.wright381@ellarises.org,Paisley,Wright,2001-11-24,participant,801-597-6813,West Jordan,UT,84590,12,STEM,1555.25
364,aaliyah.thompson382@ellarises.org,Aaliyah,Thompson,2010-08-18,participant,801-781-3328,Draper,UT,84971,10,Arts,
365,ethan.martin383@studentmail.org,Ethan,Martin,2003-03-21,participant,801-292-1920,Spanish Fork,UT,84039,9,STEM,
366,emma.king384@community.org,Emma,King,2000-12-04,participant,801-828-4300,Salt Lake City,UT,84340,1,Both,111.57
367,layla.lee385@ellarises.org,Layla,Lee,2000-06-27,participant,801-800-3320,Salt Lake City,UT,84152,13,Both,
368,natalie.jones386@learners.net,Natalie,Jones,2004-10-08,participant,801-303-6514,Bountiful,UT,84601,1,STEM,
369,lily.ramirez387@community.org,Lily,Ramirez,2003-01-03,participant,801-924-6846,Lehi,UT,84179,7,Both,
370,layla.harris388@learners.net,Layla,Harris,2013-09-29,participant,801-381-1029,Murray,UT,84131,9,Arts,
371,isabella.lopez389@learners.net,Isabella,Lopez,2009-02-16,participant,801-779-2705,West Jordan,UT,84655,12,Arts,248.54
372,evelyn.thomas390@learners.net,Evelyn,Thomas,2013-11-25,participant,801-851-2453,Lehi,UT,84172,7,Both,29.45
373,skylar.lewis391@ellarises.org,Skylar,Lewis,2005-11-11,participant,801-455-2110,Layton,UT,84215,4,STEM,245.65
374,ava.brown392@community.org,Ava,Brown,2007-04-15,participant,801-629-3725,Riverton,UT,84751,5,Arts,
375,kennedy.wright393@community.org,Kennedy,Wright,2001-08-25,participant,801-690-4695,Logan,UT,84849,5,STEM,
376,isabella.jackson394@ellarises.org,Isabella,Jackson,2005-09-01,participant,801-307-2215,Lehi,UT,84268,12,Arts,176.89
377,lily.jones395@ellarises.org,Lily,Jones,2013-10-20,participant,801-828-8909,Lehi,UT,84609,11,Arts,
378,chloe.hill396@community.org,Chloe,Hill,2002-08-11,participant,801-303-6424,Orem,UT,84055,10,Arts,74.97
379,ethan.taylor397@learners.net,Ethan,Taylor,2006-10-24,participant,801-298-1813,Murray,UT,84244,9,Both,
380,alexander.martinez398@ellarises.org,Alexander,Martinez,2004-08-09,participant,801-637-2435,Draper,UT,84004,13,Both,
381,levi.gonzalez399@ellarises.org,Levi,Gonzalez,1999-11-03,participant,801-374-5781,Salt Lake City,UT,84212,5,STEM,
382,bella.sanchez400@community.org,Bella,Sanchez,2000-01-17,participant,801-876-5341,Spanish Fork,UT,84917,7,Both,
383,hazel.lopez401@learners.net,Hazel,Lopez,1999-01-01,participant,801-391-8303,Bountiful,UT,84379,4,Arts,
384,theodore.taylor402@studentmail.org,Theodore,Taylor,2014-11-15,participant,801-263-3476,Layton,UT,84578,14,Both,
385,elizabeth.garcia403@learners.net,Elizabeth,Garcia,2010-06-02,participant,801-974-4727,Taylorsville,UT,84995,11,Arts,279.42
386,michael.clark404@community.org,Michael,Clark,2006-11-09,participant,801-506-2293,West Jordan,UT,84488,3,Both,
387,isabella.allen405@studentmail.org,Isabella,Allen,2001-11-17,participant,801-975-8357,Logan,UT,84973,12,STEM,494.09
388,zoey.rodriguez406@ellarises.org,Zoey,Rodriguez,2002-07-13,participant,801-899-8133,Taylorsville,UT,84081,13,Both,144.09
389,aria.hill407@learners.net,Aria,Hill,1999-12-14,participant,801-944-2097,Lehi,UT,84933,6,Both,576.18
390,james.scott408@learners.net,James,Scott,2013-09-16,participant,801-669-1202,Layton,UT,84533,9,Both,
391,michael.clark409@ellarises.org,Michael,Clark,2000-05-15,participant,801-351-2641,Taylorsville,UT,84154,9,STEM,
392,aurora.wright410@learners.net,Aurora,Wright,2010-10-31,participant,801-592-8955,Taylorsville,UT,84271,9,Arts,
393,isabella.lopez411@learners.net,Isabella,Lopez,1998-11-14,participant,801-833-7581,Bountiful,UT,84148,6,Arts,1152.45
394,lillian.brown412@community.org,Lillian,Brown,2005-07-30,participant,801-581-1331,Layton,UT,84919,13,Arts,260.27
395,bella.moore413@community.org,Bella,Moore,2004-09-27,participant,801-433-3201,Logan,UT,84996,14,Arts,148.71
396,claire.moore414@community.org,Claire,Moore,2007-02-18,participant,801-652-4463,Ogden,UT,84193,14,Arts,484
397,michael.white415@ellarises.org,Michael,White,2004-12-23,participant,801-362-2075,Pleasant Grove,UT,84811,14,Both,164.71
398,liam.rodriguez416@ellarises.org,Liam,Rodriguez,2003-08-06,participant,801-405-1944,Orem,UT,84198,11,Arts,55.3
399,charlotte.white417@studentmail.org,Charlotte,White,2006-11-26,participant,801-675-9275,Layton,UT,84378,7,STEM,
400,sophia.thomas418@learners.net,Sophia,Thomas,2008-08-23,participant,801-656-3909,Spanish Fork,UT,84609,9,Both,
401,kennedy.thompson419@studentmail.org,Kennedy,Thompson,2004-05-24,participant,801-905-2480,Layton,UT,84767,11,Arts,
402,charlotte.hernandez420@studentmail.org,Charlotte,Hernandez,2004-01-14,participant,801-430-4387,West Jordan,UT,84663,7,Arts,
403,daniel.johnson421@ellarises.org,Daniel,Johnson,2011-06-26,participant,801-335-3837,Spanish Fork,UT,84934,15,STEM,
404,victoria.taylor422@learners.net,Victoria,Taylor,2008-04-18,participant,801-585-6713,Layton,UT,84434,4,STEM,85.81
405,theodore.martin423@community.org,Theodore,Martin,2010-08-05,participant,801-723-7131,Logan,UT,84008,7,Both,
406,aurora.martin424@ellarises.org,Aurora,Martin,2012-05-14,participant,801-544-5529,Spanish Fork,UT,84066,1,Arts,1285.05
407,lucy.martin425@studentmail.org,Lucy,Martin,1999-04-11,participant,801-983-4937,St. George,UT,84530,15,Both,237.63
408,liam.lee426@studentmail.org,Liam,Lee,2003-10-27,participant,801-709-5843,Salt Lake City,UT,84672,3,Arts,
409,liam.harris427@ellarises.org,Liam,Harris,2013-05-24,participant,801-943-4643,Sandy,UT,84352,8,Both,
410,jack.thompson428@learners.net,Jack,Thompson,2004-08-03,participant,801-873-3967,Orem,UT,84861,2,Arts,
411,sofia.taylor429@studentmail.org,Sofia,Taylor,2005-12-20,participant,801-291-4641,Lehi,UT,84671,10,Both,
412,bella.clark430@learners.net,Bella,Clark,2008-05-27,participant,801-799-5817,Draper,UT,84267,13,STEM,
413,jack.brown431@ellarises.org,Jack,Brown,2000-09-08,participant,801-399-9199,Spanish Fork,UT,84911,13,Both,
414,leah.king432@learners.net,Leah,King,2002-06-29,participant,801-354-3250,Taylorsville,UT,84056,1,Arts,148.83
415,benjamin.martinez433@learners.net,Benjamin,Martinez,2005-06-17,participant,801-282-8988,Orem,UT,84798,7,STEM,
416,aaliyah.brown434@ellarises.org,Aaliyah,Brown,2010-12-04,participant,801-414-3762,Riverton,UT,84281,15,STEM,264.32
417,alexander.garcia435@studentmail.org,Alexander,Garcia,2007-08-16,participant,801-639-7609,Taylorsville,UT,84649,5,Arts,104.83
418,ava.williams436@studentmail.org,Ava,Williams,2014-12-23,participant,801-214-6279,Draper,UT,84973,13,Both,
419,zoey.johnson437@ellarises.org,Zoey,Johnson,2004-12-31,participant,801-910-6641,West Jordan,UT,84232,12,STEM,
420,hazel.allen438@learners.net,Hazel,Allen,2004-07-10,participant,801-246-5885,Orem,UT,84067,5,Both,108.81
421,michael.hill439@learners.net,Michael,Hill,2005-09-08,participant,801-903-3192,Taylorsville,UT,84910,3,Arts,1133.37
422,stella.gonzalez440@studentmail.org,Stella,Gonzalez,2014-04-23,participant,801-433-4675,Bountiful,UT,84020,12,STEM,172.23
423,emma.nguyen441@studentmail.org,Emma,Nguyen,2006-06-01,participant,801-928-1612,Logan,UT,84376,3,Both,
424,eleanor.wright442@ellarises.org,Eleanor,Wright,1999-01-31,participant,801-310-1323,Provo,UT,84678,14,STEM,140.19
425,oliver.lewis443@community.org,Oliver,Lewis,2013-09-28,participant,801-458-8772,Logan,UT,84561,12,STEM,
426,olivia.martin444@community.org,Olivia,Martin,2011-12-20,participant,801-732-5423,Logan,UT,84679,9,Both,
427,camila.clark445@ellarises.org,Camila,Clark,2004-05-04,participant,801-832-2928,Pleasant Grove,UT,84737,2,STEM,
428,jackson.gonzalez446@studentmail.org,Jackson,Gonzalez,2006-01-11,participant,801-735-4304,Layton,UT,84852,14,Arts,
429,savannah.hernandez447@ellarises.org,Savannah,Hernandez,2005-06-01,participant,801-412-8875,Spanish Fork,UT,84933,10,STEM,430.23
430,olivia.garcia448@ellarises.org,Olivia,Garcia,1999-09-07,participant,801-292-9383,Spanish Fork,UT,84153,14,Both,
431,elizabeth.taylor449@studentmail.org,Elizabeth,Taylor,1999-02-15,participant,801-470-8606,Riverton,UT,84304,2,STEM,82.71
432,mia.jackson450@learners.net,Mia,Jackson,2000-02-18,participant,801-956-2898,Lehi,UT,84437,13,STEM,
433,olivia.rodriguez451@studentmail.org,Olivia,Rodriguez,2014-06-11,participant,801-648-5395,Lehi,UT,84367,2,Arts,153.69
434,violet.lopez452@ellarises.org,Violet,Lopez,2006-08-26,participant,801-667-5453,Bountiful,UT,84410,14,Arts,
435,oliver.hernandez453@ellarises.org,Oliver,Hernandez,2001-07-29,participant,801-943-1960,St. George,UT,84713,2,Arts,
436,levi.torres454@community.org,Levi,Torres,2011-09-18,participant,801-588-6875,Orem,UT,84626,11,Both,
437,sofia.walker455@community.org,Sofia,Walker,1999-01-12,participant,801-621-8220,Logan,UT,84909,2,Arts,527.14
438,addison.walker457@learners.net,Addison,Walker,1998-04-06,participant,801-771-1894,Bountiful,UT,84153,7,STEM,
439,mateo.walker458@community.org,Mateo,Walker,2005-03-11,participant,801-969-9055,Orem,UT,84077,10,Arts,
440,penelope.brown459@studentmail.org,Penelope,Brown,2008-04-18,participant,801-440-2291,Bountiful,UT,84413,5,Both,
441,lucas.garcia460@community.org,Lucas,Garcia,2014-09-18,participant,801-321-9148,Riverton,UT,84324,7,STEM,
442,mila.sanchez461@community.org,Mila,Sanchez,2000-01-15,participant,801-762-1002,Provo,UT,84571,15,Both,
443,brooklyn.allen462@studentmail.org,Brooklyn,Allen,1999-03-21,participant,801-549-6953,Riverton,UT,84974,13,STEM,76
444,benjamin.perez463@community.org,Benjamin,Perez,2000-03-09,participant,801-663-2868,Draper,UT,84734,15,Both,
445,victoria.smith464@learners.net,Victoria,Smith,2010-04-14,participant,801-848-5783,Draper,UT,84850,8,Arts,
446,mila.williams465@studentmail.org,Mila,Williams,2000-05-26,participant,801-934-7704,Spanish Fork,UT,84144,4,Both,1015.65
447,nora.gonzalez466@ellarises.org,Nora,Gonzalez,2014-01-28,participant,801-668-4122,Bountiful,UT,84221,1,STEM,252.16
448,oliver.williams467@ellarises.org,Oliver,Williams,2001-01-07,participant,801-874-9260,Riverton,UT,84469,5,STEM,
449,mason.brown468@community.org,Mason,Brown,2013-07-08,participant,801-720-3903,Spanish Fork,UT,84947,9,STEM,305.79
